CHILDID,P1LEARN,P2LEARN,P4LEARN,T1LEARN,T2LEARN,T4LEARN,T5LEARN,T6LEARN,P1SRS10,P1SRS13,P1SRS15,P1SRS18,P1SRS22,P1SRS24,P2SRS10,P2SRS13,P2SRS15,P2SRS18,P2SRS22,P2SRS24,P4SRS10,P4SRS13,P4SRS15,P4SRS18,P4SRS22,P4SRS24,T1SRS11,T1SRS14,T1SRS15,T1SRS21,T1SRS23,T1SRS24,T2SRS11,T2SRS14,T2SRS15,T2SRS21,T2SRS23,T2SRS24,T4SRS11,T4SRS14,T4SRS15,T4SRS21,T4SRS23,T4SRS24,T5SRS11,T5SRS14,T5SRS15,T5SRS21,T5SRS23,T5SRS24,T5SRS26,G6SRS11,G6SRS14,G6SRS15,G6SRS21,G6SRS23,G6SRS24,G6SRS26
0911014C,3,2.33,3.33,2.5,,,,,3,3,3,3,3,3,2,3,2,2,3,2,4,4,2,2,4,4,2,3,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0911015C,3.67,3.17,3.67,3.17,2.83,2,1.43,2.29,4,4,2,4,4,4,3,4,2,4,3,3,4,4,2,4,4,4,3,4,3,3,3,3,2,3,3,3,3,3,1,3,2,4,1,1,1,1,1,3,1,1,2,1,2,3,2,3,2,3
0911017C,,2.33,2.5,2.17,,,,,,,,,,,1,4,2,2,3,2,1,4,1,3,3,3,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0911018C,3.67,3.33,3.5,3.5,3.67,2.67,3,3.14,3,4,4,4,4,3,2,4,2,4,4,4,3,4,3,3,4,4,3,4,3,4,3,4,4,3,4,4,4,3,4,3,2,3,2,2,3,4,2,3,3,2,4,3,3,3,3,4,3,3
0911019C,2.83,2.33,2.5,3.83,3,2.67,2.57,3,3,3,2,2,4,3,2,3,2,2,3,2,2,3,2,2,3,3,4,4,4,4,3,4,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,2,3,2,3,4,3,3,3,2,3
0911020C,3.5,3.67,3,2.17,2.17,1.83,2,2,3,3,3,4,4,4,4,3,3,4,4,4,2,2,2,4,4,4,2,2,3,3,1,2,2,1,3,2,3,2,2,2,2,1,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2
0911021C,2.83,2.17,2,1.6,2.67,1.33,1.43,2.57,2,4,2,2,4,3,2,4,1,2,2,2,1,1,1,3,2,4,1,2,1,,1,3,4,2,3,3,2,2,1,2,1,2,1,1,1,1,1,2,1,1,3,3,2,3,4,2,1,3
0911022C,2.5,3,2.83,3.17,3.5,3.67,3.14,3.71,3,2,2,3,3,2,4,3,3,2,3,3,4,2,2,3,3,3,3,3,4,3,2,4,3,4,4,3,3,4,3,3,4,4,4,4,2,4,4,2,3,3,4,2,4,4,4,4,4,4
0911023C,3,3,2.5,2,2.17,1.67,,,2,4,2,3,4,3,3,4,3,2,3,3,2,3,1,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,2,,,,,,,,,,,,,,
0911024C,3,3.33,3.33,3.67,3.5,3.17,1.57,3.29,3,4,3,2,3,3,4,4,3,2,4,3,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,4,3,4,2,4,4,3,3,3,1,2,1,3,1,1,2,3,4,3,3,3,3,4
0913001C,3,3.17,2.5,3.67,3.33,3.67,3.86,,2,3,2,3,4,4,3,3,3,3,4,3,2,3,2,2,3,3,4,4,3,3,4,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,3,4,4,4,,,,,,,
0913002C,3.67,4,3.83,2.17,2.17,2.33,3.29,,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,4,4,4,3,3,3,2,,,,,,,
0913003C,2.5,3.17,2.83,2.67,3,3.17,,,3,2,3,2,2,3,4,2,4,2,3,4,3,2,4,2,2,4,3,3,2,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,
0913004C,3.33,3.67,3.33,2.5,2.5,2.17,,,3,4,3,2,4,4,3,4,3,4,4,4,3,4,2,3,4,4,2,4,3,2,2,2,1,4,3,2,3,2,1,4,2,2,2,2,,,,,,,,,,,,,,
0913005C,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0913006C,3.5,,,3.67,,,,,3,4,3,3,4,4,,,,,,,,,,,,,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
0913007C,2.83,2.67,3,3,2.67,3.33,3.29,2.14,2,3,2,3,4,3,2,3,2,2,4,3,3,3,3,3,3,3,3,4,2,3,2,4,3,3,2,3,2,3,2,4,4,3,3,4,2,4,4,3,3,3,4,1,2,2,3,2,2,3
0913008C,2.5,2.83,3.5,4,3.67,4,,3.86,2,4,2,2,3,2,2,4,2,2,4,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,,,,,,,,4,4,4,3,4,4,4
0913009C,3.17,2.5,3.17,3.17,2.83,2.67,3.71,3.86,4,3,3,3,3,3,2,3,2,2,3,3,3,4,2,4,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,4,4,4,4,3,3,4,4,4,4,3,4,4,4
0913010C,3.67,2.83,2.67,2.17,2,2.17,2.57,2.86,2,4,4,4,4,4,2,3,2,2,4,4,1,3,2,2,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,3,2,1,4,4,3,3,3,2,2,3
0913011C,3,3,2.67,3.33,3.5,2,2.86,3.71,3,3,2,3,4,3,3,4,2,3,3,3,3,2,3,3,3,2,3,4,3,3,3,4,3,4,4,3,4,3,2,2,2,2,2,2,2,4,3,3,2,3,3,4,4,3,4,3,4,4
0913012C,3.33,,,2.5,2.83,2.83,2.86,3.71,4,4,3,4,4,1,,,,,,,,,,,,,2,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,4,4,3,3,4,4,4,4,4,3,3
0913013C,2.33,2.33,2.67,1.67,1.67,2.33,2,2,2,3,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,3,1,2,1,3,1,2,1,3,1,2,1,2,3,3,2,2,2,2,3,2,2,1,1,2,3,1,2,2,2,2,2,3
0913014C,3.33,3.83,3.83,3,3.17,,,,4,4,3,4,1,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,
0913015C,2.83,3.33,3.67,3,2.83,2.67,3.57,3.29,3,3,2,3,3,3,4,3,3,3,4,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,2,2,2,3,3,4,3,4,4,2,4,4,4,3,4,3,3,3,3
0913016C,3.17,3,2.67,2.5,2.67,2,2.71,2.43,4,4,3,2,3,3,4,4,2,2,4,2,3,2,3,2,3,3,3,2,3,1,3,3,2,3,2,3,3,3,2,2,,2,,2,3,3,2,2,3,3,3,4,2,2,2,2,2,3
0913017C,2.33,2.17,2.67,1.83,1.83,2,2.14,1.57,2,2,3,1,3,3,2,2,2,2,3,2,2,4,4,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,1,2,3,2,3,1,2,2,1,2,1,3,1,1,2
0913018C,3,2.83,3,3,3.17,,3.43,3.86,4,3,3,2,3,3,3,3,3,2,3,3,3,3,4,2,3,3,3,4,3,2,3,3,3,4,3,3,3,3,,,,,,,3,4,3,3,4,3,4,4,4,4,3,4,4,4
0913019C,3.17,3.33,2.67,3.33,3.17,2.33,3,3.57,3,3,3,3,3,4,3,4,3,3,4,3,3,3,2,3,3,2,3,4,4,3,3,3,3,4,3,3,3,3,4,2,2,2,2,2,3,3,3,3,3,3,3,4,3,3,3,4,4,4
0913020C,2.67,2.17,2.5,3.17,3,3.17,2.86,2.86,3,3,2,2,3,3,2,2,2,2,2,3,2,3,2,2,3,3,3,4,3,3,3,3,3,4,3,2,3,3,4,2,4,2,3,4,3,3,3,2,3,3,3,3,2,3,3,3,3,3
0913021C,3,4,3.67,2.5,3.5,2.17,2.71,,3,3,2,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,2,4,2,2,2,3,3,4,4,3,4,3,2,3,2,2,2,2,1,4,4,3,2,2,3,,,,,,,
0913022C,2.5,2.83,2.83,3.33,3.83,3.5,3.86,4,2,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,4,4,3,4,4,4,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
0913023C,3.67,3.17,3.67,2.67,2.83,2.5,2.86,3.14,4,4,3,4,4,3,4,3,2,3,4,3,4,4,3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,2,1,4,3,3,3,3,3,2,3,4,4,3,3,3
0913024C,3.33,3,2.83,3.33,2.83,3.33,,,2,4,3,3,4,4,2,4,2,2,4,4,2,4,2,2,3,4,3,4,3,4,3,3,2,4,3,3,2,3,3,4,3,4,3,3,,,,,,,,,,,,,,
0913040C,,,3,,,2.33,3,2.71,,,,,,,,,,,,,3,4,2,2,4,3,,,,,,,,,,,,,3,3,2,2,2,2,4,3,2,3,3,3,3,4,2,2,2,3,2,4
0914001C,3,3,3.17,3,2,3.17,2.71,,2,4,2,2,4,4,3,3,2,3,4,3,3,4,2,2,4,4,3,2,4,3,3,3,1,2,2,3,2,2,3,3,3,3,4,3,1,3,3,3,3,3,3,,,,,,,
0914006C,3.67,3.5,3.17,2,1.67,2.67,2.71,1.86,4,4,4,2,4,4,4,4,2,3,4,4,3,4,3,2,3,4,2,2,2,2,2,2,2,1,1,2,2,2,3,4,2,3,2,2,2,3,3,3,3,2,3,2,1,1,2,2,2,3
0914007C,,2.83,3,2.83,3.17,4,3.29,3.29,,,,,,,2,4,2,1,4,4,3,4,2,2,4,3,3,3,3,3,3,2,2,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3,3,3,4,3,4
0914008C,,3.5,2.5,2.33,2.33,3.5,2.57,2,,,,,,,4,4,2,3,4,4,1,4,1,2,4,3,3,2,3,2,2,2,2,4,2,2,2,2,4,4,4,3,3,3,1,3,3,3,2,3,3,2,2,1,2,2,2,3
0914009C,2.83,2.33,,2.5,3.33,,,,1,4,1,4,4,3,1,4,1,2,4,2,,,,,,,3,3,3,2,2,2,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,
0914010C,2.67,3.33,2.17,2.33,2.83,2.83,3.43,3,3,3,2,2,2,4,4,3,3,3,4,3,3,2,2,2,2,2,3,2,2,3,2,2,4,3,2,4,2,2,4,3,2,4,2,2,3,4,4,3,3,3,4,3,2,2,3,4,3,4
0914011C,2.83,2.83,,3,3.67,,,,3,3,3,2,3,3,3,4,2,1,4,3,,,,,,,3,3,3,3,3,3,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,
0914013C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0914015C,,3,,2.33,2.33,,,,,,,,,,3,3,2,4,3,3,,,,,,,3,1,2,4,2,2,1,4,1,4,2,2,,,,,,,,,,,,,,,,,,,,
0914018C,,2.67,3.17,1.83,1.5,3.5,,,,,,,,,2,3,2,2,4,3,4,3,2,3,4,3,2,2,2,1,2,2,2,2,1,1,1,2,3,4,4,2,4,4,,,,,,,,,,,,,,
0915002C,2.83,2.5,2.33,1.83,1.83,3,1.57,2,2,3,2,4,4,2,2,3,2,3,2,3,3,2,2,2,3,2,1,3,2,2,1,2,1,3,2,2,1,2,2,4,3,3,3,3,1,2,2,1,1,2,2,1,2,3,2,1,2,3
0915003C,2.33,2.5,2.67,2.17,3.33,3,,2.86,2,3,2,2,3,2,2,3,2,2,3,3,2,3,2,3,3,3,2,3,2,2,2,2,3,4,2,4,4,3,2,3,3,3,4,3,,,,,,,,3,3,3,2,3,3,3
0915004C,2.83,3.83,3.33,3.33,3.5,3.67,,,4,2,3,2,2,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,4,4,1,4,4,4,4,4,4,3,4,3,4,4,,,,,,,,,,,,,,
0915005C,,3.67,,2.17,2.83,,,,,,,,,,4,3,3,4,4,4,,,,,,,2,2,2,2,3,2,3,2,4,3,3,2,,,,,,,,,,,,,,,,,,,,
0915006C,3.5,3,2.83,3.5,4,3.83,3.71,4,4,3,3,3,4,4,4,3,2,2,4,3,3,4,2,2,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
0915007C,3.67,2.83,2.83,1.67,2.5,2.67,,1.71,4,4,2,4,4,4,3,4,2,2,4,2,3,3,2,3,3,3,2,2,2,1,1,2,2,3,3,3,2,2,1,4,3,3,2,3,,,,,,,,1,2,2,1,2,2,2
0915009C,2.33,2.67,,1.83,2.17,,,,2,3,2,2,2,3,2,4,2,3,2,3,,,,,,,1,3,1,2,2,2,2,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,
0915011C,3.33,2.83,3.33,2.17,2.67,3,2.43,3.43,2,4,2,4,4,4,2,4,2,3,4,2,3,4,3,3,3,4,2,3,2,2,2,2,3,3,3,3,2,2,2,3,3,4,3,3,2,3,3,2,2,2,3,2,4,4,2,4,4,4
0915012C,2.67,3,3.67,3.17,4,4,3.86,4,3,3,2,3,3,2,2,3,1,4,4,4,4,4,3,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
0915013C,3.17,2.83,3,3.33,3.67,4,4,3.71,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,2,4,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4
0915014C,2.5,2.33,2.33,2.5,2.67,1.5,1.86,1.71,2,3,2,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,1,3,2,3,3,3,1,4,2,4,2,3,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,3,1,1,2
0915015C,3.17,2.83,2.5,3.67,4,3.67,3.71,3.43,4,4,4,2,2,3,3,3,2,3,3,3,3,3,2,3,2,2,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,2,4,4,4,4,4,4,3,3,3,3,4,4,4
0915016C,2.33,3,2.83,1.83,2.33,2.33,,,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,2,1,2,2,2,4,2,2,2,2,1,4,3,2,2,2,,,,,,,,,,,,,,
0915017C,3.33,3.5,3.33,3.33,3.67,3.67,,3.86,4,4,2,3,4,3,4,4,3,2,4,4,4,4,3,3,3,3,2,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,3,,,,,,,,4,4,4,4,4,3,4
0915018C,2.67,3.17,,2,,,,,2,4,2,2,3,3,2,4,3,3,3,4,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0915019C,2.33,2.5,2,1.33,1.5,1.67,,2.71,1,3,2,3,3,2,2,3,1,4,2,3,1,3,1,3,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,,,,,,,,2,3,3,2,3,2,4
0915020C,2.83,2.67,3,3.33,3.83,3.67,3.57,3,3,3,3,2,3,3,3,2,2,2,3,4,4,4,2,2,4,2,4,4,4,2,2,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3
0915021C,3.17,3.33,3,3,2.4,3.17,,,3,4,2,2,4,4,3,4,3,2,4,4,3,4,2,2,3,4,2,4,4,3,2,3,2,2,3,3,2,,3,4,3,3,3,3,,,,,,,,,,,,,,
0915022C,2.83,2.5,2.5,2,2.17,2,,3.14,2,3,2,3,4,3,2,3,2,1,4,3,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,4,3,3,3,3,3,3
0915023C,3.33,3.33,3.33,1.83,3.83,3.33,,2.86,4,4,3,2,4,3,3,4,3,2,4,4,3,4,2,3,4,4,2,2,1,2,2,2,4,4,3,4,4,4,3,3,3,4,4,3,,,,,,,,2,3,3,3,3,3,3
0915024C,3.67,3.33,3.5,3.83,3.83,2.83,,3.71,4,3,4,3,4,4,4,2,3,3,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,2,4,3,3,2,3,,,,,,,,4,3,3,4,4,4,4
0917001C,,3.67,,,2.83,,,,,,,,,,3,4,4,3,4,4,,,,,,,,,,,,,2,3,4,2,3,3,,,,,,,,,,,,,,,,,,,,
0917002C,,3,,,3.17,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,3,3,4,2,3,4,,,,,,,,,,,,,,,,,,,,
0917003C,,3.83,,,3.67,,,,,,,,,,4,4,4,3,4,4,,,,,,,,,,,,,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,
0917004C,,3.17,,,3.83,,,,,,,,,,3,4,3,2,4,3,,,,,,,,,,,,,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
0917005C,,2.5,,,2.83,,,,,,,,,,2,3,2,2,4,2,,,,,,,,,,,,,2,4,2,3,3,3,,,,,,,,,,,,,,,,,,,,
0917006C,,3.67,,,3,,,,,,,,,,4,4,4,3,4,3,,,,,,,,,,,,,3,3,4,2,3,3,,,,,,,,,,,,,,,,,,,,
0917007C,,3.17,,,3.17,,,,,,,,,,3,3,3,4,3,3,,,,,,,,,,,,,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
0917008C,,2.5,,,3.33,,,,,,,,,,3,3,2,1,3,3,,,,,,,,,,,,,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,
0917009C,,2.5,,,2.4,,,,,,,,,,2,3,2,2,3,3,,,,,,,,,,,,,2,,2,3,2,3,,,,,,,,,,,,,,,,,,,,
0917010C,,3.17,,,2.5,,,,,,,,,,4,4,2,2,4,3,,,,,,,,,,,,,1,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,
0917011C,,3.33,,,3,,,,,,,,,,4,4,2,2,4,4,,,,,,,,,,,,,2,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,
0917012C,,3.33,,,3,,,,,,,,,,3,4,3,3,4,3,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
0917013C,,3.67,,,2.33,,,,,,,,,,3,4,4,3,4,4,,,,,,,,,,,,,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,
0917014C,,,2.67,,3.83,3.83,,,,,,,,,,,,,,,2,3,2,3,3,3,,,,,,,4,4,4,3,4,4,4,4,4,3,4,4,,,,,,,,,,,,,,
0917015C,,2.8,,,3.5,,,,,,,,,,2,4,2,,4,2,,,,,,,,,,,,,3,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,
0918001C,3.17,3,2.83,3.67,2.4,2.5,,3.29,4,4,3,2,4,2,4,2,3,2,3,4,4,2,3,2,2,4,4,4,4,3,4,3,3,2,2,3,,2,3,3,2,2,3,2,,,,,,,,3,3,3,2,4,4,4
0918003C,2.67,2.67,2.5,2.17,,,,2.14,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,3,3,2,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,3
0918004C,2.17,2.5,2.67,3.5,3.17,2.67,,2.43,1,2,2,2,4,2,2,2,3,1,4,3,3,2,2,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,4,3,2,3,2,2,,,,,,,,2,3,3,3,2,2,2
0918005C,,,,3.33,3.67,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,4,2,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
0918006C,4,3.83,,4,4,,,,4,4,4,4,4,4,4,4,4,3,4,4,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
0918007C,,2,,3,3.33,3.2,3.17,3,,,,,,,3,1,2,2,2,2,,,,,,,2,4,3,3,3,3,3,4,4,3,3,3,3,,3,3,3,4,3,,3,4,3,3,3,3,2,3,3,4,3,3
0918008C,2.5,2.5,2.5,3.33,3,,,3.86,2,3,2,2,3,3,3,3,2,2,2,3,2,3,2,2,3,3,3,3,4,3,4,3,3,2,4,3,4,2,,,,,,,,,,,,,,4,4,4,3,4,4,4
0918009C,3.17,2.67,3,3.5,,,,,4,2,3,4,3,3,3,3,3,3,2,2,4,3,1,3,3,4,3,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
0918010C,,,,3.33,3.5,,4,,,,,,,,,,,,,,,,,,,,2,3,4,3,4,4,4,4,3,3,3,4,,,,,,,4,4,4,4,4,4,4,,,,,,,
0918011C,2.33,1.83,2,,,,,,1,4,1,3,2,3,1,2,2,2,2,2,1,4,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0918012C,,,2.5,2.17,,,,,,,,,,,,,,,,,2,4,1,4,2,2,1,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0918013C,,,3.17,2.17,3.67,2.67,3.43,,,,,,,,,,,,,,4,3,3,1,4,4,2,2,2,2,2,3,2,4,4,4,4,4,2,3,3,2,3,3,3,4,4,3,3,4,3,,,,,,,
0918014C,,,2,,3,2.67,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,3,3,3,3,3,3,2,3,3,2,3,3,,,,,,,,,,,,,,
0918015C,,,2.83,3.33,3.83,3.5,2.29,2.57,,,,,,,,,,,,,4,2,3,2,4,2,4,3,3,2,4,4,4,4,4,3,4,4,4,1,4,4,4,4,1,3,3,2,2,3,2,3,2,3,3,1,3,3
0918016C,,,2.83,3.5,3.67,3.5,3.29,3.29,,,,,,,,,,,,,4,3,4,2,2,2,4,2,4,3,4,4,3,4,4,3,4,4,4,1,4,4,4,4,4,2,4,3,3,3,4,4,2,4,3,3,3,4
0918017C,3.33,3,3.67,3.5,3.83,,,,4,4,3,3,3,3,4,4,3,2,1,4,4,4,4,4,4,2,3,4,4,3,4,3,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
0918018C,3.17,,,3.5,,,,,3,3,3,3,4,3,,,,,,,,,,,,,4,4,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
0918019C,2.33,2.67,2,3.2,3.33,3.83,,,2,2,2,2,3,3,2,3,3,2,3,3,2,2,2,2,2,2,3,4,,2,4,3,3,4,4,2,4,3,4,4,4,4,4,3,,,,,,,,,,,,,,
0918020C,2.83,2.5,2.5,3.33,2.33,2.33,3.86,3.71,3,3,3,2,3,3,2,3,2,2,3,3,2,3,2,2,3,3,3,3,3,3,4,4,1,3,3,2,2,3,2,2,3,3,2,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4
0918021C,2.17,3.33,2.5,3.83,3.5,2.83,3.71,2.43,2,2,1,2,4,2,3,4,3,3,4,3,2,3,2,3,3,2,4,4,4,3,4,4,4,3,3,3,4,4,2,3,2,2,4,4,3,4,4,4,4,3,4,3,2,2,2,2,3,3
0918022C,3,2.83,3.67,3.17,3.17,3.4,3.71,3.14,4,3,3,2,3,3,4,2,2,1,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,,4,3,4,4,4,4,3,3,4,4,2,3,2,3,4,4
0918023C,2.17,2.67,2.67,2.5,2.33,2,,2.14,2,2,2,2,2,3,2,3,3,2,3,3,2,2,2,3,4,3,2,4,2,3,2,2,1,3,3,3,2,2,2,2,2,2,2,2,,,,,,,,2,2,2,3,2,2,2
0918024C,3.33,3,3.67,3,3.17,,,,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,2,3,3,4,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,
0918040C,,,3.17,,,2,2.71,3,,,,,,,,,,,,,3,3,3,2,4,4,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,2,2,4,2,3,3,3,3,3,4
0920001C,3.83,3.17,2.67,2.33,4,3,,2.33,4,4,3,4,4,4,4,3,2,3,4,3,3,3,2,2,3,3,3,2,2,2,2,3,4,4,4,4,4,4,3,4,3,2,3,3,,,,,,,,2,1,4,,2,2,3
0920002C,2.33,2.33,,3.67,3.83,3.83,2.71,3.29,2,3,2,2,3,2,2,3,2,2,3,2,,,,,,,3,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,2,2,3,3,4,3,3,2,3,4,4
0920003C,,2.83,,4,3.67,4,,3.57,,,,,,,3,3,3,3,2,3,,,,,,,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,1,4,4,4,4,4,4
0920004C,3.33,3,,3,4,4,2.86,4,3,3,3,4,4,3,3,3,3,3,3,3,,,,,,,3,3,3,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,2,3,4,4,4,4,4,4,4,4
0920005C,2.17,2.17,2,2.33,1.67,,2.86,,2,2,2,1,3,3,2,2,2,1,3,3,2,2,2,1,3,2,3,2,2,3,2,2,2,2,1,2,2,1,,,,,,,2,3,3,2,4,4,2,,,,,,,
0920006C,3.17,,,3.33,3.33,3.33,,,2,4,3,2,4,4,,,,,,,,,,,,,4,3,4,3,3,3,4,4,4,2,4,2,3,4,2,4,4,3,,,,,,,,,,,,,,
0920007C,2.17,,3,2.17,3,3,3.71,2.86,2,2,2,2,3,2,,,,,,,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,4,2,4,3,3,3,3,4,3,4,4,4,3,4,2,3,3,3,3,3,3
0920008C,,3.33,,2.2,1.67,,,,,,,,,,4,4,2,2,4,4,,,,,,,2,,3,3,2,1,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,
0920009C,3.33,3.17,2.83,3.67,3.83,3.5,,3.57,4,3,3,2,4,4,3,3,3,2,4,4,4,3,2,2,4,2,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,2,4,4,,,,,,,,4,1,4,4,4,4,4
0920010C,,,,2.83,2.33,3.67,,,,,,,,,,,,,,,,,,,,,2,4,3,3,2,3,2,4,2,2,2,2,4,4,4,3,3,4,,,,,,,,,,,,,,
0920011C,3.17,,,3,,,,,3,3,3,2,4,4,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
0920012C,3.33,2.83,2.83,3.17,3.67,3.17,,3.57,4,4,4,2,4,2,2,3,3,3,3,3,3,2,2,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,3,3,3,,,,,,,,4,4,4,3,3,3,4
0920013C,3.17,3.67,,2.67,2.83,1.5,,,2,3,2,4,4,4,4,4,3,4,4,3,,,,,,,2,2,3,3,3,3,3,2,3,3,3,3,1,2,1,1,2,2,,,,,,,,,,,,,,
0920014C,2.83,2.83,,3,,,,,3,3,3,2,3,3,2,3,2,3,4,3,,,,,,,3,3,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
0920015C,3.33,3.33,3.17,3.67,3.67,3.67,,,4,4,2,2,4,4,4,4,2,4,3,3,3,4,1,3,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,3,3,,,,,,,,,,,,,,
0920016C,2.33,,,2.5,2.33,,,,3,2,3,1,3,2,,,,,,,,,,,,,2,3,2,3,3,2,1,4,2,3,2,2,,,,,,,,,,,,,,,,,,,,
